,id,retweet_count,favorite_count
482,813800681631023104,1983,9093
483,813217897535406080,8199,20350
484,813202720496779264,2022,9982
485,813187593374461952,4912,21620
486,813172488309972993,2164,10181
487,813157409116065792,2490,8437
488,813142292504645637,2653,9161
489,813130366689148928,497,4860
490,813127251579564032,3522,12926
491,813112105746448384,3103,11256
492,813096984823349248,4071,11456
493,813081950185472002,3116,10766
494,813066809284972545,2184,8657
495,813051746834595840,8234,22826
496,812781120811126785,2146,8240
497,812747805718642688,7819,0
498,812709060537683968,1609,7218
499,812503143955202048,1378,6635
500,812466873996607488,2167,8716
501,812372279581671427,4129,14922
502,811985624773361665,1587,7926
503,811744202451197953,1817,8235
504,811647686436880384,836,6080
505,811627233043480576,3531,13974
506,811386762094317568,7204,22804
507,810984652412424192,1608,5823
508,810896069567610880,2011,9860
509,810657578271330305,2971,11962
510,810284430598270976,12897,38734
511,810254108431155201,3781,16020
512,809920764300447744,4388,16897
513,809808892968534016,5532,0
514,809448704142938112,1656,7561
515,809220051211603969,6335,21760
516,809084759137812480,3951,14403
517,808838249661788160,3423,11021
518,808733504066486276,2440,8619
519,808501579447930884,2918,12318
520,808344865868283904,23382,46381
521,808134635716833280,6723,0
522,808106460588765185,2457,9510
523,808001312164028416,3976,13728
524,807621403335917568,4149,15924
525,807106840509214720,61105,123015
526,807059379405148160,8280,0
527,807010152071229440,4296,14221
528,806629075125202948,39438,82168
529,806620845233815552,6217,0
530,806576416489959424,2178,5280
531,806542213899489280,2673,11139
532,806242860592926720,13194,0
533,806219024703037440,1350,6999
534,805958939288408065,6053,0
535,805932879469572096,2140,9021
536,805826884734976000,2064,7180
537,805823200554876929,9095,0
538,805520635690676224,1866,6257
539,805487436403003392,2852,9561
540,805207613751304193,1915,8493
541,804738756058218496,4344,15001
542,804475857670639616,2269,6720
543,804413760345620481,3627,0
544,804026241225523202,18285,48733
545,803773340896923648,3124,10977
546,803692223237865472,8392,0
547,803638050916102144,4682,12006
548,803380650405482500,2095,8460
549,803321560782307329,6025,0
550,803276597545603072,2785,10961
551,802952499103731712,2262,9855
552,802624713319034886,3296,0
553,802600418706604034,1656,7776
554,802572683846291456,2827,9768
555,802323869084381190,6596,17763
556,802265048156610565,1529,6922
